uuid,name,superClass,interfaces,isInterface,hasSuperClass,hasInterfaces,fields
f5d8b02c-a4ad-4b4d-b1ef-39bd18e5a938,jdk.internal.org.objectweb.asm.Frame,,,false,false,false,"[""LOCAL"",""26"",""int""]|[""KIND"",""24"",""int""]|[""BASE_VALUE"",""24"",""int""]|[""BASE"",""24"",""int""]|[""SIZE"",""24"",""int[]""]|[""TOP_IF_LONG_OR_DOUBLE"",""24"",""int""]|[""INTEGER"",""24"",""int""]|[""inputStack"",""0"",""int[]""]|[""DIM"",""24"",""int""]|[""FLOAT"",""24"",""int""]|[""NULL"",""24"",""int""]|[""BYTE"",""24"",""int""]|[""STACK"",""26"",""int""]|[""VALUE"",""24"",""int""]|[""UNINITIALIZED"",""24"",""int""]|[""outputLocals"",""2"",""int[]""]|[""SHORT"",""24"",""int""]|[""owner"",""0"",""jdk.internal.org.objectweb.asm.Label""]|[""initializationCount"",""2"",""int""]|[""ARRAY_OF"",""24"",""int""]|[""TOP"",""24"",""int""]|[""outputStackTop"",""2"",""int""]|[""DOUBLE"",""24"",""int""]|[""LONG"",""24"",""int""]|[""inputLocals"",""0"",""int[]""]|[""initializations"",""2"",""int[]""]|[""ELEMENT_OF"",""24"",""int""]|[""OBJECT"",""24"",""int""]|[""BASE_KIND"",""24"",""int""]|[""outputStack"",""2"",""int[]""]|[""BOOLEAN"",""24"",""int""]|[""UNINITIALIZED_THIS"",""24"",""int""]|[""CHAR"",""24"",""int""]"
6a26cd03-fcb5-4b32-bbfc-c564f0f0597a,java.net.HttpCookie$10,,java.net.HttpCookie$CookieAttributeAssignor,false,false,true,
7fe9ef1d-e2d2-495d-be8a-7d21aa1caa00,java.util.Spliterator$OfInt$accept__273,,java.util.function.IntConsumer,false,false,true,"[""cap0"",""0"",""java.util.function.Consumer""]"
c948c23b-f832-4a0e-8ea9-aea7c5a4325f,java.net.HttpCookie$11,,java.net.HttpCookie$CookieAttributeAssignor,false,false,true,
7b66d5a2-89d3-4233-9caa-0f840218f77b,java.lang.Class$ReflectionData,,,false,false,false,"[""publicFields"",""64"",""java.lang.reflect.Field[]""]|[""publicMethods"",""64"",""java.lang.reflect.Method[]""]|[""declaredFields"",""64"",""java.lang.reflect.Field[]""]|[""declaredMethods"",""64"",""java.lang.reflect.Method[]""]|[""publicConstructors"",""64"",""java.lang.reflect.Constructor[]""]|[""redefinedCount"",""16"",""int""]|[""declaredConstructors"",""64"",""java.lang.reflect.Constructor[]""]|[""declaredPublicFields"",""64"",""java.lang.reflect.Field[]""]|[""declaredPublicMethods"",""64"",""java.lang.reflect.Method[]""]|[""interfaces"",""64"",""java.lang.Class[]""]"
8e52d29c-6ed2-4706-9b8b-85ee560d08e1,java.time.chrono.MinguoDate,java.time.chrono.ChronoLocalDateImpl,java.time.chrono.ChronoLocalDate|java.io.Serializable,false,true,true,"[""isoDate"",""146"",""java.time.LocalDate""]|[""serialVersionUID"",""26"",""long""]"
f378888e-e1eb-4657-9132-0fa24324ba07,java.net.HttpCookie$12,,sun.misc.JavaNetHttpCookieAccess,false,false,true,
c61a94ed-5962-4305-ba60-5a05ef90937b,java.util.stream.ReduceOps,,,false,false,false,
96e32c9b-df9c-4bfc-a5e7-8f2a91ecb62b,sun.reflect.UnsafeStaticBooleanFieldAccessorImpl,sun.reflect.UnsafeStaticFieldAccessorImpl,,false,true,false,
1ff41c82-9e10-442e-8593-aa43f2fbc6a9,java.time.chrono.IsoEra,java.lang.Enum,java.time.chrono.Era,false,true,true,"[""$VALUES"",""4122"",""java.time.chrono.IsoEra[]""]|[""BCE"",""16409"",""java.time.chrono.IsoEra""]|[""CE"",""16409"",""java.time.chrono.IsoEra""]"
